,Sentence
25,"The Collector's Choice group exhibition, established in 1969 at the suggestion of Tom Gleghorn, and which opened the renovated space, became an annual fixture important as part of Newcastle's art scene, and spawned street parties."
26,OCLC 1069851970.
27,"An active environmentalist, in the 1970s she famously chained herself to a tree to stop the widening of King Street, Newcastle, through Birdwood Park."
28,"She was loved very much by all."""
29,The ride home.
30,"Von Bertouch, Anne (1991)."
31,Guy Boyd survey exhibition: bronze sculpture.
32,"Matt and Marilyn Sainsbury, new owners of the gallery buildings, with Matt's sister Helen Griffin, commissioned Newcastle sculptor Graham Wilson, an exhibitor at the gallery, to carve a bust in Wollombi sandstone honouring her memory and her place in Cooks Hill life."
33,"Golden Age Fine Art Gallery; Von Bertouch, Anne; Boyd, Guy; Boyd, Phyllis (1985)."
34,"Von Bertouch Galleries showed contemporary work by nationally prominent artists, as well as artists associated with the Hunter Region of New South Wales, including still-life painter Margaret Olley (1923-2011), landscapist Shay Docking (1928–1998), mid-century modernist painter and textile designer Mary Beeston (b. 1917), naïve artist Virginia Geyl (b. Holland 1917– d.1999) and the surrealist/religious painter Rona Scott, who created a mural for the film Tommy when it came to Australia."
35,London: Constable.
36,"She and Roger moved to Tasmania, where they taught and she studied at Hobart Technical College."
37,ISBN 978-0-9592824-3-6. OCLC 26579510.
38,Artists must create for the sake of creating.
39,"She acquired near-derelict Hunniford Terrace, a row of four narrow 1877 houses, opposite hers, on three titles surrounding 61 Laman St."
40,"James, Hinder, Gleghorn, Kmit and others."
41,Von Bertouch left her estate to her then 23-year-old great niece Cassandra Bird and to Davies.
42,That can destroy the living quality of the painting.
43,After teacher training her first posting was at Adamstown Infants School in the 1930s.
44,Sometimes I've helped people but that is just natural.
45,February Dark.
46,I have never encouraged the buyer who is only interested in investment.
47,A dictionary of women artists of Australia.
48,"Von Bertouch Galleries Anne and Roger von Bertouch opened the von Bertouch Galleries in their home at 50 Laman Street in Newcastle on 9 February 1963 which, as noted by The Bulletin magazine, was close to William Dobell's birthplace and the Newcastle Art Gallery."
49,"Newcastle, N.S.W.: Hunniford's Lane Press."
50,Guy Boyd.
51,Anne's 1959 semi-autobiographical documentary novel February Dark gives an account of their time there.
52,"In 1987 von Bertouch joined the 1988 Australian Bicentennial First Fleet reenactment, sailing on the Soren Larsen from Portsmouth in May 1987 and arriving at Port Jackson on Australia Day."
53,"Newcastle, N.S.W.: Hunnifords Lane Press."
54,"Davies rejected the offer as unviable and proposed instead a new, smaller gallery be built on a parcel of land in Laman Street from the sale of surrounding land."
55,"Publications Bertouch, Anne (1959)."
56,ISBN 978-976-8097-13-2. OCLC 1056680264.
57,ISBN 978-0-9592824-2-9. OCLC 220744993.
58,"It's [sic] director Anne Von Bertouch has made a great contribution to the life of [Newcastle] during the 11 years of the gallery's existence,"" and quoted her sentiments about selling art;""I think the gallery has integrity."
59,References
60,"Installed in 2019, it stands outside the former gallery on Laman Street."
61,She married Roger Von Bertouch in 1939.
62,"Finding their block unviable, they moved to Newcastle where they renovated a terrace house."
63,In March 2004 Bird sought to buy Davies' share and to reopen the gallery.
64,It was reissued by Hunniford's Lane Press in 1982.
65,"Coburn, Cassab, Crooke."
66,That is what I have worked hardest to achieve.
67,"Her other published works include The Ride Home and a 1000-copy limited-edition monograph on sculptor Guy Boyd, described by Canberra Times reviewer Glenda Alexander as a ""delightful story, if touched with the hint of sentimentality which the Boyds always seem to attract."""
68,2000.
69,"First published at the age of twenty, he is noted for his writings in science fiction, historical fantasy, and mainstream culture."
70,Ashraf was the scientific editor of Al-Qafilah magazine between 2014 and 2017.
71,2006.
72,"Ashraf E. Fagih (Pronounced: ""Fa-geeh"") (Arabic: أشرف إحسان فقيه) is a Saudi author and academic."
73,"Arabic translation, published by Yatakhayaloon - 2021."
74,"He also served as the Supervisor of University Relations & Community Outreach, and as the deputy director of the Information Technology Center in KFUPM."
75,1997.
76,"He has been an invitee to numerous events on creative writing and the literature of science, including Ithra's Tanween Creativity Season and the World Science Fiction Convention (DisCon III)."
77,"Dr. Fagih taught many specialized courses according to variety of concepts, including Massive Open Online Courses (MOOC), where he offered the first-ever Arab course on a MOOC platform in October 2013."
78,Bibliography Novels A Portrait of the Void – رسم العدم.
79,"His doctoral work explores performance and design issues related to hybrid wireless environments, such as the Internet of Things."
80,2020.
81,A historical thriller tracing the origins of Count Vlad Dracula's struggle against the Ottomans in the 15th century.
82,"A historical novel following the life of 13th century Pisan mathematician Leonardo Fibonacci, and his introduction of the Arabic Numerals to Europe."
83,The Impaler – المُخوزِق.
84,References External links Ashraf Fagih's Goodreads author profile List of scientific publications
85,ISBN 9789921723700
86,Arabic science fiction short stories.
87,2012.
88,"Academic career Between 2013 and 2018, he was an assistant professor with the Department of Information & Computer Science at King Fahd University of Petroleum & Minerals (KFUPM)."
89,Short story collections Over Twenty Lives – نيّف وعشرون حياة.
90,He is one of the few notable science fiction authors in the Arab Gulf states.
91,"Arabic translation, published by Takween - 2017."
92,"In 2021, Our Life released a documentary, The Man with Another Man's Arms, following Peck's recovery from bilateral arm transplant on YouTube."
93,References
94,John Peck is an American Marine sergeant who lost both his legs and arms during a mission in Afghanistan in 2010.
95,He was also named Military Times Veteran of the Year for 2021.
96,"He lost both legs and one arm when an Improvised explosive device he stepped on exploded; while recovering in the hospital, an infection forced amputation of his remaining arm."
97,"The video received over 5,000,000 views within its first year."
98,Also a documentary was made about him.
99,Vertellingen uit den oorlog (1915)
100,De muziek in Vlaanderen (1928) Brabant in 't verweer: bijdrage tot de studie der Zuid-Nederlandse strijdliteratuur in de eerste helft der 17e eeuw (1933) Peilingen (1935)
101,In 1899 he married Gabriëlla De Smet.
102,"From 1923 to 1937 he was professor of Dutch literature at the Université Libre de Bruxelles, in succession to August Vermeylen."
103,"During this period he published on the Plantin Press, the Verdussen family, and the poetry and pamphleteering of the 16th and 17th centuries."
104,"He grew up in Bruges, going to school there, and studied philology at the University of Ghent, obtaining a doctorate in 1896 with a thesis on Jan Luyken."
105,He died in Antwerp on 12 February 1938 and was buried at the Schoonselhof Cemetery in Antwerp.
106,"De meesters van de gulden passer: Christoffel Plantin, aartsdrukker van Philips II, en zijn opvolgers, de Moretussen (1937)"
107,Het kerkske van te lande
108,"Maurits Sabbe, born Maurice Charles Marie Guillaume Sabbe (Bruges, 9 February 1873 – Antwerp, 12 February 1938), was a Flemish man of letters and educator who became curator of the Plantin-Moretus Museum in Antwerp."
109,"A statue of him, unveiled in 1950, stands at the Sashuis near the Minnewater in Bruges."
110,"He became a secondary school teacher, working at a number of different establishments."
111,He also wrote for several other publications including The Independent before he was appointed Scottish Football Correspondent by The Sunday Times in 1998.
112,"He now lives in Leicester, is married to Jan and is father to two daughters."
113,"His earliest effort came at the age of six with his review of the 1978 FIFA World Cup, entitled 'The Caterpillar Who Went to Argentina'."
114,"Since his appointment, he has authored several notable books, including Manchester United Opus, which he co-wrote with Hugh McIlvanney, Patrick Barclay and Jim White amongst others."
115,As a footballer her became a valued regular midfielder for Stonehaven Juveniles and then Edinburgh University.
116,He was present to witness Botham's Headingley 'Miracle' in 1981.
117,"As an adult he was a regular for Sefton Sunday Elevens in Liverpool, where he acted as a consistent if underachieving, batsman, succeeding in getting into the forties many times but never managing to go any further."
118,"For his cricket he appeared for Aberdeen Colts and also for his father's team in Aberdeen, Balmoral CC."
119,Personal life Since childhood Northcroft has been a supporter of Aberdeen FC.
120,"He was nominated for Best New Writer at the 2017 British Sports Book Awards, and nominated for Writer of the Year at the 2018 Football Supporters Federation Awards."
121,Northcroft graduated with an MA in English literature from the University of Edinburgh in 1993.
122,"Northcroft then wrote Fearless: How Leicester City Shook the Premier League and What it Means For Sport after Leicester City's surprise Premier League victory in 2016, and Deadlines, and Darts with Dele after he lost a game of darts against England midfielder Dele Alli during the 2018 FIFA World Cup in Russia."
123,He grew up in a sporting household and was encouraged from an early age to take an active interest in football and cricket.
124,He then completed a postgraduate diploma in journalism at the Scottish Centre for Journalism Studies.
125,Career Northcroft began his career as a trainee news reporter at The Herald in 1995 before he joined Scotland on Sunday.
126,He is currently the Chief Football Writer for The Sunday Times.
127,Jonathan Northcroft is a Scottish sports journalist and author.
128,"During his career at The Sunday Times, he was shortlisted for Feature Writer of the Year at the British Sports Journalism Awards in 2006 and for Football Writer of the Year in 2016 and 2018."
129,On 10 October 2018 Northcroft was included in a list of the 238 most respected journalists working in Britain as published by the National Council for the Training of Journalists.
130,"The book gained widespread notability after a copy signed by the Prime Minister and ruler of Dubai, Sheikh Mohammed bin Rashid al-Maktoum was sold at auction for $1.6m, which was a world record price for a sporting publication."
131,"Education Northcroft first attended Newtonhill Primary School, where he regularly turned class writing assignments into yet another opportunity to write on football."
132,"For his Secondary schooling he went to Mackie Academy, Stonehaven, where he left as Dux in 1990."
133,References
134,He was promoted to Northern Football Correspondent in 2001 and then Chief Football Correspondent for The Sunday Times in 2009.
135,Awards Northcroft was the inaugural winner of the Jim Rodger Memorial Award for young sports writers in Scotland.
136,He followed the team while Alex Ferguson was manager.
137,"He regularly appears on broadcast networks as a pundit, including Sky Sports Sunday Supplement, BT Sport programme Football Writers on TV, BBC Radio 5 live, RTÉ Radio 1 show Today with Seán O'Rourke, as well numerous appearances on The Times own The Game podcast."
138,She is married with two sons.
139,"Bibliography History of Clifden 1810–1860, 1982 Beyond The Twelve Bens: A History of Clifden and District 1860–1923,1986."
140,"Born and raised in Clifden, County Galway, Villiers-Tuthill is the author of six books and numerous articles on the history of West County Galway."
141,Kathleen Villiers-Tuthill is an Irish historical writer.
142,"In recognition of her contribution to the heritage of the county, she has received two Heritage Award from Galway County Council."
143,"The first in 2003 and in 2006 her book, Alexander Nimmo & The Western District, was granted Best Heritage Publication Award."
144,"Cruz was also the Philippine bibliographer of the Modern Language Association of America, as well as the president of the Philippine Fulbright Scholars Association."
145,"Apart from being a creative writer, Cruz is also known as a film and drama reviewer."
146,References External links Official Website of Isagani R. Cruz Official Blog Website of Isagani R. Cruz
147,"Cruz has also been a regular contributor for Philippine periodicals including the Times Journal, the Philippine Daily Inquirer, the TV Times, Modern Romances, Bulaklak, WHO, Parade, Observer, Panorama, Ms. Ellaneous, and Asiaweek."
148,"Prior to his official retirement, he held the Alfredo E. Litiatco Lectures at the De La Salle University, where he chaired for the Department of Literature and Philippine Languages."
149,"As an educator, Cruz worked with prominent Philippine universities."
150,Isagani R. Cruz (born 1945) is a Filipino writer and literary critic.
151,"In the Philippines, he served as editor for the publications Loyola Studies, Palabas, Interlock, and Malay."
152,"He was a member and founding chair of the Manila Critics Circle, the Manunuri ng Pelikulang Pilipino (Philippine Film Critics), a former head of the Philippine Studies Association of the Philippines, the University of the Philippines Writers Club, the Cultural Research Association of the Philippines, the American Studies Association of the Philippines, the Philippine Tournament Bridge Association, and the National Research Council of the Philippines."
153,His scholastic articles have been published in the Philippines and in the United States.
154,"As an advocate of Philippine culture, Cruz was a member of groups and institutions that promote Philippine literature and art."
155,He became a visiting fellow at St Antony's College at Oxford University.
156,He also became a publisher at the De La Salle University Press.
157,"Education Cruz earned his undergraduate degree from the University of the Philippines Diliman, where he completed a Bachelor of Science in Physics in 1965."
158,He later enrolled at the Ateneo de Manila University to earn an M.A. in English Literature in 1970.
159,"As a result, he became a member of the Palanca Hall of Fame in 2004 in recognition of his Palanca-winning plays, essays, and short stories in Filipino and English."
160,He also taught literature at the Ateneo de Manila University and the University of Santo Tomas.
161,He is a Don Carlos Palanca Memorial Awards for Literature multi-awardee.
162,"In 1972 and 2003, Cruz received a Fulbright grant that allowed him to study in the United States."
163,"Cruz also won the SEAWRITE Award in 1991, the Centennial Literary Contest Award in 1998, and the Gawad Balagtas Award in 1999."
164,"While at the De La Salle University, he taught a variety of subjects, which included Science Fiction, Advanced Writing, The Teaching of Literature, and Computer Literacy."
165,"He was an assistant professor at the University of the Philippines in Diliman, Quezon City and a director of the Teachers Academy at Far Eastern University."
166,He also earned a Ph.D. in English Literature from the University of Maryland in 1976.
167,"Cruz represented the Philippines in several international conferences in Canada, Hong Kong, South Korea, Malaysia, Indonesia and Japan."
168,"He also became a professor at universities in the United States, Japan, and Taiwan."
169,"In 1900, he wrote an article for The Nineteenth Century, in which he proclaimed that the Senussi would lead a holy war against Britain and France."
170,"The Committee was renamed as the ""Labour Electoral Association"", and although it championed representation through the Liberal Party, it did sponsor Keir Hardie's independent candidacy at the 1888 Mid Lanarkshire by-election."
171,"Threlfall was elected as a member of the Southport Town Council, and as President of Southport Trades Council."
172,He also took up literature.
173,"The Sword of Allah, published in 1899, was described by the Saturday Review as an ""illiterate shocker"", and The Strange Adventures of a Magistrate was published in 1903."
174,"Thomas Robert Threlfall (6 October 1852 – fl.1932), known as T. R. Threlfall, was a British trade unionist and Liberal-Labour politician."
175,"In 1885, he persuaded the Association to sponsor two candidates: Frederick Maddison, and Threlfall himself, who stood for the Liberal Party at the 1886 general election in Sheffield Hallam."
176,"In 1885, the Trades Union Congress (TUC) was held in Southport, and Threlfall was elected to serve as its President."
177,"Threlfall stood for Parliament again, as a Lib-Lab candidate, in Liverpool Kirkdale at the 1892 general election, but he was again unsuccessful."
178,References
179,"He served as the body's first Secretary, and focused his activity on forming local labour electoral organisations, affiliated to the national body."
180,He applied unsuccessfully to the Royal Literary Fund in 1914 and successfully in 1929 and 1932.
181,"He was also active in the Typographical Association, and championed the idea of working men standing for election to Parliament."
182,"At the following congress, he convinced the TUC to form a Labour Electoral Committee, to sponsor candidates for election to Parliament."
183,"Troia was republished in 2007, drawing renewed interest to Bremser's life and work."
184,"After Ray Bremser was jailed in 1963, Bonnie Bremser sent him weekly two-page letters chronicling their journey in Mexico and her experience of sex work."
185,She has said the couple told jail authorities that the letters were business correspondence to get around a one-page personal letter maximum.
186,"Bonnie Bremser (b. 1939), born Brenda Frazer, is a Beat writer and protofeminist figure known for her epistolary memoir Troia: Mexican Memoirs, also published in the U.K. as For Love of Ray."
187,Bremser and her husband and infant daughter fled to Mexico in 1961 because her husband was wanted for parole violation.
188,"Since the republishing of Troia, Bremser has also drawn recognition for her awareness of gender and race and her attitude toward those issues, which was nuanced especially for the 1950s and among the Beats."
189,References
190,"She briefly attended Sweet Briar College in Virginia before dropping out to marry Ray Bremser, whom she'd met three weeks earlier."
191,"In Mexico, she engaged in sex work at the urging of her husband."
192,Bremser's work frequently draws comparisons to Jack Kerouac for her autobiographical chronicle of life on the road.
193,"Life and career Bremser was born Brenda Frazer in 1939 in Washington, D.C."
194,"The word ""troia"" is Italian slang, meaning ""sow"" or ""whore,"" but also references Helen of Troy."
195,"Those letters later were compiled into Troia: Mexican Memoirs, originally published in 1969."
196,"Reception Troia has been described as a ""lost classic of experimental writing that speaks the movement’s aesthetics and ethos from the vantage of a woman living the 'beat' life."""
197,"She says a fatwa was issued against her and is thus ""living in the shadow of a death threat."""
198,In this book she shares eight of the stories told to her by different women.
199,"After many women read Fatwa they contacted Jacky Trevane and told her their own stories which resulted in a book, Invisible Women: Living in Secrecy to Survive, published in 2005."
200,"Jacky was twenty-three when she arrived in Egypt for a holiday with her boyfriend, Dave."
201,The couple bore two daughters.
202,"Their marriage, however, turned sour and Jennifer decided to return to England."
203,"With the help of ghostwriter Clifford Thurlow she published the book Fatwa: Living with a Death Threat, describing her version of her life with her Egyptian Muslim husband Maged (in her book called Omar)."
204,"It was, she says in her book, love at first sight."
205,"Jacky Trevane is the pseudonym of Jennifer Anne, a British woman who ran away from her Egyptian husband in 1992."
206,"She married him, converted to Islam and lived with him in a poor suburb of Cairo."
207,"The Egyptian publication Al-Fajr spoke with Jennifer's husband, providing a different story and denying many of the claims Jennifer made."
208,All of these circumstances resulted in substantial unhappiness.
209,She was the daughter of a servant and lost her father at the age of five.
210,"Different from other prominent female authors of the time, such as Na Hye-sok and Heo Jong-suk, she focused solely on fiction and essay writing and did not branch out into other forms of artistic expression such as painting."
211,"From Wonso Pond (Ingan munje), which many consider her best work, is her only novel and deals with a multiplicity of class and gender issues."
212,"On April 26, 1944, one month after her mother died, Kang Kyŏng-ae died at her home in Hwanghae Province."
213,She was then forced to move to Changyeon where her mother remarried a man with three children.
214,"She met a college student who was visiting from Tokyo, moved to Seoul with him, and began an affair."
215,This period lasted seven years after which Kang ceased writing fiction altogether.
216,She was also praised in school for her essay writing and often read stories for her friends.
217,"Most of her works are anti-love/anti family, in which only those women who cut their ties with their failed relationships can achieve freedom."
218,"Kang Kyŏng-ae (20 April 1906 – 26 April 1944) (Korean: 강경애, 姜敬愛) was a Korean writer, novelist and poet involved with the Feminist movement."
219,Kang enrolled in a Catholic boarding school with the help of her brother-in-law.
220,"These include: ""The Broken Geomungo"" (Pageum), ""Vegetable Garden"" (Chaejeon), ""Football Game"" (Chukgu jeon), and ""Mother and Child"" (Moja)."
221,"By age ten, she had been nicknamed the “little acorn storyteller” by neighborhood elders for whom she read traditional Korean tales."
222,She is also known by her penname Kang Gama.
223,"In 1931 Kang began publishing her writing (""P'ag ŭm"" or Broken Zither, 1931), and moved to Manchuria as a newlywed, married to a communist who had divorced his first wife."
224,Work Kang is often mentioned by literary critics as one of the foremost female writers of the colonial period.
225,Kang was something of a prodigy and started teaching herself to read the Korean alphabet when she was eight years old using her step-father's copy of the Tale of Ch’unhyang at a time when female literacy was not greatly valued.
226,"Life Kang Kyŏng-ae was born in Songhwa, Hwanghae-do, and had an unhappy childhood."
227,She was later expelled for orchestrating and participating in a sit-in against the school's strict policies and a particularly cruel dorm mistress.
228,"She also wrote proto-feminist works focusing on women's oppression including ""Mothers and Daughters"" (Eomeoni wa ttal)."
229,She lived as a housewife in Yongjin and began to churn out literary works.
230,"When the affair ended, she moved back to her family home in Hwanghae-do."
231,"She produced works focusing on the Korean underclass often based on her experiences with extremely poor Koreans in Manchuria, where many of her works took place."
232,This was partly related to the fact that she became the managing editor of the Manchurian Chosun Ilbo.
233,The family lived in British Columbia until Elise moved back to Skowhegan with the two boys c. 1908.
234,She made additional recordings for Schirmer in 1942.
235,"After the boys grew up, White and her mother (her father had died) lived in various places in Maine - Skowhegan, Boston, Topsham, Brunswick, and Portland - until her mother's death in 1934."
236,White corresponded with Australian composer Percy Grainger about American folk life and folk music.
237,"In 1937, Schirmer Records recorded White playing seven pieces for violin and piano, accompanied by Carl Deis."
238,Her father played violin and was White's first violin teacher.
239,"She also wrote the chapter ""History of Music in Old Bloomfield"" in Louise Colburn's book, Skowhegan on the Kennebec, as well as articles for various publications, including Chicago Music News; Music Quarterly; Musical Observer; New Music Review; and Violin World."
240,White continued her studies in Vienna with Kneisel's teacher Jacob Grun and with Max Lewinger.
241,"Her debut in Boston was with the Cecilia Society under conductor Benjamin Johnson Lang, and in New York at a Bagby Concert at the Waldorf-Astoria Hotel."
242,"While living in New York, White worked for the American Association of University Women as a hostess at their 1939 World's Fair booth, and wrote articles for the Skowhegan Independent Reporter about the Fair."
243,"During 1895 and 1896, she toured and played violin in the northern United States and southern Canada with the McKenzie Tour Company trio consisting of soprano Rebecca McKenzie, pianist Bertha O'Reilly, and White."
244,"Artist Zaidee Lincoln Morrison, also a Skowhegan native, was one of White's closest friends."
245,"Bio Elise was born in Skowhegan, Maine, the only child of Frank and Deborah Swan Fellows."
246,"Let it be a story of privileges and of opportunities –– not always made the most of, perhaps, but for which I am ever more grateful and more generously rewarded in a wealth of good memories."""
247,White was a violinist in the New York Women's Symphony Orchestra.
248,Bruce continued to support them financially until his death during the 1918 flu epidemic.
249,"From 1887 to 1889 she attended Colby College, where she studied with Eugen Gruenberg."
250,White gave several recitals in Vienna while she studied there.
251,"She wrote in her diary about seeing Charles Lindbergh in Old Orchard Beach, Maine, on July 25, 1927, only two months after his historic solo flight across the Atlantic."
252,"Mary Elise Fellows White (November 14, 1873 – March 22,1953) was an American author, composer, and violinist who recorded for Schirmer records."
253,"When she was 10 years old, White and her mother moved to Boston so she could study at the New England Conservatory of Music with Timothee Adamowski, Campanari, Emery, L.C. Elson, and later Franz Kneisel."
254,"In 1938, White wrote her autobiography, about which she said, ""Let the record be, therefore, not one of joys and sorrows, though they have been intense enough in my life, but let this narrative deal with the surroundings and scenery of the journey rather than with the mishaps and worries of the traveler."
255,"They married in 1898 and had two sons: Bruce Jr. in 1900, and James in 1907."
256,A New York edition from the fifth London edition appeared in 1806.
257,"In August 1818 Owen went abroad, to assist with the establishment of a branch bible society in Paris, and to inspect the progress of the Turkish New Testament, then in course of preparation for the society by Jean-Daniel Kieffer."
258,"He went on, in 1784, as Sykes exhibitioner, to Magdalene College, Cambridge, where he was admitted as sizar."
259,"Porteus had presented him in 1808 to the rectory of Paglesham, Essex; and when, in 1813, John Randolph, Porteus's successor, insisted that Owen resided there, he resigned the Fulham curacy."
260,"John Owen (1766–1822) was an English Anglican priest, a secretary on its foundation of the British and Foreign Bible Society."
261,A French translation of the work appeared.
262,"Several of their children survived him, including sons Henry and John Orde."
263,Funeral sermon on the surgeon William Sharp.
264,1809.
265,"London, 1804; 2nd edit., with a dedication to Beilby Porteus, bishop of London, 3rd edit."
266,Dictionary of National Biography.
267,"An Earnest Expostulation with those who Live in the Neglect of Public Worship, London, 1801."
268,"London, 1816."
269,"The Fashionable World Displayed by ""Theophilus Christian, esq."", 1st edit."
270,"Death Owen died at Ramsgate on 26 September 1822, and was buried at Fulham."
271,1808.
272,"It was a reply to an attack by Thomas Twining and John Scott-Waring on the society's work in India, on the ground that a conquered nation's free exercise of religion was being improperly limited."
273,"Family Owen married Charlotte Green in 1794, and they settled in Cambridge."
274,"Esther Owen (1804–1871) married in 1823 Nathaniel Wells, as his second wife."
275,These were published at Cambridge in 1794.
276,"""Owen, John (1766-1822)""."
277,"From 23 April 1804—a few weeks after its foundation—until his death he was its principal secretary, an unpaid position."
278,"He visited J. F. Oberlin and the branches established at Zurich, St. Gall, Constance, and other Swiss towns."
279,"He later became minister of Park Chapel, Chelsea."
280,"At the end of 1795 he was presented by Beilby Porteus, bishop of London, to the curacy of Fulham, Middlesex, where he resided for seventeen and a half years."
281,"It was reviewed by Robert Southey in the Quarterly Review, 1827, who criticised the society's translations."
282,1805; 7th edit.
283,British and Foreign Bible Society Owen's connection with the British and Foreign Bible Society (BFBS) is his main claim to fame.
284,"Their daughter Mary Frances married in 1820 William Wilberforce (1798–1879), the eldest son of William Wilberforce, who was being coached by Owen for a career as barrister."
285,On 11 March and 5 August 1794 Owen preached assize sermons in Great St Mary's.
286,"In September 1792 he left Geneva for the south of France, and arrived in Lyon to find it in the hands of revolutionaries."
287,"The History of the Origin and First Ten Years of the British and Foreign Bible Society, 2 vols."
288,1805; 5th edit.
289,He returned to England in December.
290,An eighth edition was published before 1822.
291,"Other works include Sternstunde, Radio Activity and Bergsalz."
292,References
293,Her first novel The Familiar Melody of Sung's Shop was translated into French.
294,She lived in Japan and Austria before settling in Berlin.
295,She is a linguist and philosopher.
296,Karin Kalisa (born 1965) is a German writer.
297,"Previously, she was a general teacher of Arabic from 1428 AH to 1434 AH."
298,Asma bint Muqbi bin Awad Al-Ahmadi (Arabic: أسماء بنت مقبل بن عوض الأحمدي) is a Saudi academic writer and critic.
299,References
300,"A story collection called ""Between them Isthmus"" (Arabic title: Baynahoma barzik), published by Jazan Literary Club and Arab Scientific Publishers in 2017."
301,"Academic qualifications and expertise Dr. Al-Ahmadi hold a Ph.D. degree in Philosophy- in Arabic Language and Literature, she is currently working as an Assistant Professor in the Department of Islamic Culture and Language Skills at the faculty of Science and Literature in King Abdulaziz University since 1434 AH."
302,Awards Asma Al-Ahmadi won the Sharjah Award for Gulf women’s creations in 2019.
303,"She wrote some stories published in a joint book by selected Arab writers entitled (Arabic title: Shatharat Al-qawafi) published by Dar Qalam Al-Khayal for publishing and distribution in 2017, and has worked on a number of scientific, literary papers and studies published in local and Arab newspapers and journals."
304,"She won the 2003 Caine Prize for African Writing for her story ""Weight of Whispers""."
305,"She is a contributor to the 2019 anthology New Daughters of Africa, edited by Margaret Busby."
306,"She can clear the gloom with passages of Dickensian comedy or tender romance, but most of her novel takes places in 'haunted silences.'"
307,"Daniel Musiitwa, ""An Interview with the Caine Prize Winning Author Yvonne Adhiambo Owuor"", Africa Book Club, 1 March 2014."
308,"But as Ayaana grows into adulthood, forces of nature and history begin to reshape her life and the island itself–from a taciturn visitor with a murky past to a sanctuary-seeking religious extremist, from dragonflies to a tsunami, from black-clad kidnappers to cultural emissaries from China."
309,"When a sailor named Muhidin enters their lives, Ayaana finds something she has never had before: a father."
310,"Reviewing Dust in The New York Times, Taiye Selasi wrote: ""In this dazzling novel you will find the entirety of human experience — tearshed, bloodshed, lust, love — in staggering proportions."""
311,"In 2010, along with Binyavanga Wainaina, Owuor participated in the Chinua Achebe Center's ""Pilgrimages"" project and travelled to Kinshasa, and intends to produce a book about her experiences."
312,"Bhakti Shringarpure, ""Decolonizing History and Its Telling: A Conversation with Yvonne Adhiambo Owuor"", Los Angeles Review of Books, 12 September 2022."
313,"Education and professional life Born in Nairobi, Kenya, Owuor studied English at Kenyatta University, before taking an MA in TV/Video development at Reading University."
314,"In 2004, she won the Woman of the year (Arts, Heritage category) for her contributions to the arts in Kenya."
315,"Yvonne Adhiambo Owuor (born 1968) is a Kenyan writer who is the author of novels, short stories and essays."
316,"Yvonne Owuor, ""Memories of Landscape"" (""Caine Prize winning author Yvonne Owuor speaks during TEDx Nairobi on September 18th, 2010""), TEDxNairobi."
317,"'Dust' moves between the lamentation of a single family and the corruption of national politics, swirling around one young man’s death to create a vortex of grief that draws in generations of deceit and Kenya’s tumultuous modern history."""
318,"The story was originally published in Kwani?, the Kenyan literary magazine set up by Binyavanga Wainaina after he won the Caine Prize the previous year."
319,"Awards and recognition Owuor won the 2003 Caine Prize for African Writing for her story ""Weight of Whispers"", which considers an aristocratic Rwandan refugee in Kenya."
